title_fr,title_en,category,prompt_fr,prompt_en
"Icebreaker cold email personnalisé","Personalized cold email icebreaker","Sales","Tu écris UNE phrase d'accroche pour cold email. Entreprise : {entreprise}. Secteur/ville : {secteur_ville}. Détail observé : {detail}. Règles : 1 phrase, 1 compliment léger max, INTERDIT flatterie excessive / chiffres / mot ""IA"" / fanboy. Doit se lire avant ""c'est pour ça que je vous contacte"". Retourne uniquement la phrase.","Write ONE hook sentence for a cold email. Company: {company}. Industry/city: {industry_city}. Observed detail: {detail}. Rules: 1 sentence, 1 light compliment max, FORBIDDEN excessive flattery / exact numbers / ""AI"" / fanboy. Must read before ""which is why I'm reaching out"". Return only the sentence."
"Cold email séquence 4 touches","4-touch cold email sequence","Sales","Construis une séquence cold email 4 touches FR. Offre : {offre}. Cible : {persona}. Pain : {pain}. Résultat : {résultat}. Pour chaque email : subject max 5 mots, body max 80 mots (accroche perso → problème → preuve → 1 question), délai. Email 1 intro+valeur, 2 preuve, 3 angle différent, 4 breakup. Pas de ""J'espère que vous allez bien"".","Build a 4-touch cold email sequence. Offer: {offer}. Target: {persona}. Pain: {pain}. Result: {result}. Each email: subject max 5 words, body max 80 words (personal hook → problem → proof → 1 question), delay. Email 1 intro+value, 2 proof, 3 different angle, 4 breakup. No ""I hope this finds you well""."
"DM Instagram qui n'est pas un pitch","Instagram DM that isn't a pitch","Sales","Écris 5 variantes de DM Instagram pour ce prospect. Profil : {description}. Mon angle : {angle}. Offre future (NE PAS pitcher) : {offre}. Règles : max 2 phrases, référence détail SPÉCIFIQUE de leur profil/post, termine par 1 question simple, jamais de pitch direct, jamais ""j'ai vu ton profil et je trouve ça incroyable"".","Write 5 Instagram DM variants for this prospect. Profile: {description}. My angle: {angle}. Future offer (DO NOT pitch): {offer}. Rules: max 2 sentences, reference SPECIFIC detail of profile/post, end with 1 simple question, never direct pitch, never ""I saw your profile and I think it's amazing""."
"Discovery call : 10 questions","Discovery call: 10 questions","Sales","Appel découverte. Secteur : {secteur}. Offre : {offre}. Infos déjà : {infos}. Génère 10 questions ordonnées : 1-2 contexte, 3-4 pain actuel, 5-6 solutions essayées, 7-8 vision 6-12 mois, 9 budget/process, 10 question de clôture. Pour chaque : pourquoi tu la poses, ce que tu cherches, relance possible.","Discovery call. Industry: {industry}. Offer: {offer}. Info known: {info}. Generate 10 ordered questions: 1-2 context, 3-4 current pain, 5-6 solutions tried, 7-8 6-12 month vision, 9 budget/process, 10 closing question. For each: why ask, what you seek, possible follow-up."
"Proposition commerciale 1 page","One-page commercial proposal","Sales","Rédige une proposition commerciale 1 page. Client : {client + secteur}. Problème : {problème}. Solution : {solution}. Livrables : {livrables}. Timeline : {durée}. Investissement : {prix} EUR. Structure : CONTEXTE 3 lignes / CE QUE JE PROPOSE / LIVRABLES avec dates / INVESTISSEMENT / PROCHAINES ÉTAPES. Ton pro confiant, jamais commercial, zéro superlatif.","Write a 1-page commercial proposal. Client: {client + industry}. Problem: {problem}. Solution: {solution}. Deliverables: {deliverables}. Timeline: {duration}. Investment: {price} EUR. Structure: CONTEXT 3 lines / WHAT I PROPOSE / DELIVERABLES with dates / INVESTMENT / NEXT STEPS. Pro confident tone, never salesy, zero superlatives."
"Objection handling top 5","Objection handling top 5","Sales","Offre : {offre + prix}. Cible : {persona}. Liste les 5 objections les plus probables et pour chacune : 1) l'objection (formulée comme un humain), 2) ce qu'il y a derrière (vraie peur), 3) ma réponse en 2-3 phrases (calme, pas défensive, qui reframe), 4) la question pour rebondir. Pas de techniques de vente agressives, transparence.","Offer: {offer + price}. Target: {persona}. List the 5 most likely objections and for each: 1) the objection (as a human says it), 2) what's behind (real fear), 3) my answer in 2-3 sentences (calm, not defensive, reframes), 4) follow-up question. No aggressive sales tactics, transparency."
"Pitch elevator 30 secondes","30-second elevator pitch","Sales","Pitch elevator 30s max. Business : {nom + activité}. Pour qui : {cible}. Problème : {problème}. Différence : {unique}. Structure : phrase 1 qui je sers et quel problème, 2 COMMENT en 1 ligne, 3 preuve concrète ou affirmation. Termine par question ouverte. Pas de jargon, pas ""passionné par"", pas ""je suis expert"". 3 variantes (formel, casual, story).","30s elevator pitch. Business: {name + activity}. For whom: {target}. Problem: {problem}. Difference: {unique}. Structure: sentence 1 who I serve and problem, 2 HOW in 1 line, 3 concrete proof or statement. End with open question. No jargon, no ""passionate about"", no ""I'm an expert"". 3 variants (formal, casual, story)."
"Email de relance après silence","Follow-up email after silence","Sales","Email de relance court. Dernier échange : {date + sujet}. Hypothèse silence : {hypothèse}. Offre initiale : {offre}. Règles : max 60 mots, ne pas s'excuser, apporter UN élément nouveau (info marché, update, ressource), 1 question simple, ton posé jamais désespéré. 3 variantes (info marché / case study / breakup propre).","Short follow-up email. Last exchange: {date + topic}. Silence hypothesis: {hypothesis}. Initial offer: {offer}. Rules: max 60 words, don't apologize, bring ONE new element (market info, update, resource), 1 simple question, composed tone never desperate. 3 variants (market info / case study / clean breakup)."
"Page de vente : section bénéfices","Sales page: benefits section","Sales","Voici les features de mon produit : {features}. Pour chaque : 1) récris en BÉNÉFICE concret (pas ""fonctionnalité X"" mais ""tu obtiens Y en moins de Z""), 2) mini-exemple ou métaphore, 3) peur ou désir profond auquel ça répond. Format tableau 3 colonnes (Feature → Bénéfice → Émotion). Voix ""tu"" confiante, jamais ""découvrez nos solutions innovantes"".","Here are my product features: {features}. For each: 1) rewrite as concrete BENEFIT (not ""feature X"" but ""you get Y in less than Z""), 2) mini-example or metaphor, 3) deeper fear or desire it addresses. 3-column table (Feature → Benefit → Emotion). ""You"" confident voice, never ""discover our innovative solutions""."
"Suivi post-démo (qualification)","Post-demo follow-up","Sales","Email de suivi après démo. Démo montrée : {démo}. Réaction perçue : {réaction}. Questions principales : {questions}. Next step évoquée : {next step}. Email : 1) récap démo en 3 bullets, 2) réponses aux questions inline, 3) confirme next step avec date+heure, 4) 1 lien utile, 5) question simple. Max 120 mots, ton pro posé.","Follow-up email after demo. Demo shown: {demo}. Perceived reaction: {reaction}. Main questions: {questions}. Mentioned next step: {next step}. Email: 1) demo recap in 3 bullets, 2) inline answers to questions, 3) confirm next step with date+time, 4) 1 useful link, 5) simple question. Max 120 words, pro composed tone."
"SOP à partir d'un process","SOP from a process","Operations","Documente ce process en SOP claire qu'un nouveau membre pourrait suivre seul. Process : {description}. Outils : {outils}. Fréquence : {fréquence}. Format : NOM + objectif 1 ligne / PRÉ-REQUIS / ÉTAPES NUMÉROTÉES (action, screenshot, output) / POINTS D'ATTENTION / CRITÈRES SUCCÈS / ESCALATION. Style impératif clair, pas de jargon non expliqué.","Document this process as a clear SOP a new member could follow alone. Process: {description}. Tools: {tools}. Frequency: {frequency}. Format: NAME + 1-line goal / PREREQS / NUMBERED STEPS (action, screenshot, output) / WATCHOUTS / SUCCESS CRITERIA / ESCALATION. Clear imperative style, no unexplained jargon."
"Audit d'un workflow n8n","n8n workflow audit","Operations","Audit d'un workflow n8n. Description : {description}. Trigger : {trigger}. Nodes : {nodes}. Output : {output}. Problèmes : {bugs}. Analyse : 1) POINTS FAIBLES (logique, error handling, perf, sécurité), 2) RISQUES CACHÉS (rate limits, données sensibles), 3) SIMPLIFICATIONS, 4) AMÉLIORATIONS top 3 (impact/effort), 5) AJOUTS (logging, retry, fallback). Effort S/M/L + impact.","n8n workflow audit. Description: {description}. Trigger: {trigger}. Nodes: {nodes}. Output: {output}. Issues: {bugs}. Analysis: 1) WEAK POINTS (logic, error handling, perf, security), 2) HIDDEN RISKS (rate limits, sensitive data), 3) SIMPLIFICATIONS, 4) TOP 3 IMPROVEMENTS (impact/effort), 5) ADDITIONS (logging, retry, fallback). Effort S/M/L + impact."
"Plan de migration outil A → B","Tool A to B migration plan","Operations","Migration {outil_A} → {outil_B}. Données : {data}. Volume : {volume}. Contraintes : {contraintes}. Plan : 1) PRÉ-MIGRATION (audit, backup, mapping), 2) PHASE TEST (sous-ensemble, validation), 3) MIGRATION FULL (étapes, rollback points), 4) POST-MIGRATION (vérifs, com), 5) PLAN B (rollback). Pour chaque : qui, durée, livrable, risque. Timeline jour par jour.","Migration {tool_A} → {tool_B}. Data: {data}. Volume: {volume}. Constraints: {constraints}. Plan: 1) PRE-MIGRATION (audit, backup, mapping), 2) TEST PHASE (subset, validation), 3) FULL MIGRATION (steps, rollback points), 4) POST-MIGRATION (checks, comms), 5) PLAN B (rollback). For each: who, duration, deliverable, risk. Day-by-day timeline."
"Email récap réunion","Meeting recap email","Operations","Voici les notes brutes : {notes}. Transforme en email récap : 1) CONTEXTE 1 ligne (date, participants, sujet), 2) DÉCISIONS PRISES (bullets), 3) ACTIONS (tableau action/responsable/deadline), 4) POINTS OUVERTS, 5) PROCHAINE RÉUNION (date + agenda). Ton factuel pro zéro fioriture. Si ambigu marque [À CONFIRMER].","Here are raw notes: {notes}. Turn into recap email: 1) CONTEXT 1 line (date, attendees, topic), 2) DECISIONS (bullets), 3) ACTIONS (table action/owner/deadline), 4) OPEN POINTS, 5) NEXT MEETING (date + agenda). Factual pro tone zero fluff. If ambiguous mark [TO CONFIRM]."
"Plan de tâches semaine 80/20","Weekly task plan 80/20","Operations","Tâches : {tâches}. 3 objectifs : {objectifs}. Applique 80/20 : 1) identifie 20% qui produit 80% d'impact, 2) classe le reste (déléguer/reporter/supprimer), 3) planning time-block 5j max 6 blocs/jour, 4) types : Deep work 90min / Admin 30-45min / Break 15min / Repas, 5) LE chantier qui fait avancer le mois. Si une tâche n'est pas alignée, dis-le.","Tasks: {tasks}. 3 priorities: {priorities}. Apply 80/20: 1) identify 20% producing 80% impact, 2) sort rest (delegate/postpone/delete), 3) 5-day time-block plan max 6 blocks/day, 4) types: Deep work 90min / Admin 30-45min / Break 15min / Meal, 5) THE project that moves the month. If a task isn't aligned, say so."
"Onboarding nouveau client","New client onboarding","Operations","Checklist onboarding nouveau client. Type : {type}. Durée : {durée}. Livrables : {livrables}. Structure : 1) AVANT KICK-OFF (signature, acompte, accès), 2) KICK-OFF (agenda, durée, infos), 3) SEMAINE 1 (setup, intros, premiers livrables), 4) RITUELS (réunions, reporting, com), 5) CRITÈRES DE FIN (livraison, transfert, témoignage). 5 questions clés au kick-off pour éviter surprises.","New client onboarding checklist. Type: {type}. Duration: {duration}. Deliverables: {deliverables}. Structure: 1) BEFORE KICK-OFF (signature, deposit, access), 2) KICK-OFF (agenda, duration, info), 3) WEEK 1 (setup, intros, first deliverables), 4) RITUALS (meetings, reporting, comms), 5) END CRITERIA (delivery, transfer, testimonial). 5 key kick-off questions to avoid surprises."
"Trier boîte mail (système)","Inbox triage system","Operations","Boîte mail saturée. Types reçus : {types}. Volume : {volume}. Priorités : {priorités}. Propose : 1) système labels/dossiers max 6, 2) règles tri auto Gmail/Outlook, 3) critères tri manuel matin/soir 5 min, 4) règle des 2 min, 5) routine inbox zero (fréquence, durée). Inclure 3 templates de réponses rapides à copier-coller.","Saturated inbox. Email types: {types}. Volume: {volume}. Priorities: {priorities}. Propose: 1) label/folder system max 6, 2) Gmail/Outlook auto rules, 3) manual triage criteria morning/evening 5 min, 4) 2-min rule, 5) inbox zero routine (frequency, duration). Include 3 quick-reply templates."
"Rédiger un README technique","Write a technical README","Operations","README pour ce projet. Nom : {nom}. Objectif : {objectif}. Stack : {stack}. Audience : {audience}. Sections : What it does (2 lignes), Why it exists, How it works (diagramme/ASCII), Setup, Configuration (env vars, .env example), Usage (exemples commandes), Troubleshooting (top 3 erreurs + fix), Contact. Style direct simple, pas de jargon non expliqué.","README for this project. Name: {name}. Goal: {goal}. Stack: {stack}. Audience: {audience}. Sections: What it does (2 lines), Why it exists, How it works (diagram/ASCII), Setup, Configuration (env vars, .env example), Usage (command examples), Troubleshooting (top 3 errors + fix), Contact. Direct simple style, no unexplained jargon."
"Préparer un kick-off projet","Prepare a project kick-off","Operations","Kick-off projet. Projet : {nom + objectif}. Durée : {durée}. Équipe : {équipe}. Budget : {budget}. Agenda 60-90 min : 1) CONTEXTE/ENJEUX 10min, 2) OBJECTIFS/METRICS 15min, 3) SCOPE/LIVRABLES 15min, 4) RÔLES (RACI léger) 10min, 5) TIMELINE/MILESTONES 15min, 6) RISQUES/DÉPENDANCES 10min, 7) RITUELS/COM 5min. Pour chaque section : 3 questions, format, output. 5 questions à envoyer AVANT.","Project kick-off. Project: {name + goal}. Duration: {duration}. Team: {team}. Budget: {budget}. 60-90 min agenda: 1) CONTEXT/STAKES 10min, 2) GOALS/METRICS 15min, 3) SCOPE/DELIVERABLES 15min, 4) ROLES (light RACI) 10min, 5) TIMELINE/MILESTONES 15min, 6) RISKS/DEPENDENCIES 10min, 7) RITUALS/COMMS 5min. For each: 3 questions, format, output. 5 questions to send BEFORE."
"Choisir entre 2 outils","Choose between 2 tools","Operations","Choix entre {outil_A} et {outil_B} pour {problème}. Contraintes : budget {budget}, skill {niveau}, non négociables {liste}, volume {volume}. Matrice : 1) CRITÈRES 5-7 pondérés, 2) TABLEAU comparatif (note 1-5, justif 1 ligne), 3) SCORE pondéré, 4) RECOMMANDATION CLAIRE (pas ""ça dépend"") + 1 risque, 5) PLAN B 3 mois. Si une option perd sur 1 critère bloquant, dis-le.","Choice between {tool_A} and {tool_B} for {problem}. Constraints: budget {budget}, skill {level}, dealbreakers {list}, volume {volume}. Matrix: 1) CRITERIA 5-7 weighted, 2) COMPARISON TABLE (1-5 score, 1-line justification), 3) WEIGHTED SCORE, 4) CLEAR RECOMMENDATION (not ""it depends"") + 1 risk, 5) PLAN B 3 months. If an option loses on 1 dealbreaker, say so."
"Synthèse rapide d'un long article","Quick synthesis of a long article","Research","Article long : {texte}. Synthétise pour quelqu'un sans temps. Format : 1) THÈSE 1 phrase, 2) 5 IDÉES CLÉS 1 ligne, 3) CHIFFRES/FAITS 3-5 sourcés du texte, 4) CITATION FORTE verbatim, 5) CE QU'IL MANQUE/angles non couverts (regard critique), 6) ANGLE de post de contenu en 1 phrase. Factuel pas servile, n'invente jamais un chiffre absent.","Long article: {text}. Synthesize for someone without time. Format: 1) THESIS 1 sentence, 2) 5 KEY IDEAS 1 line, 3) STATS/FACTS 3-5 sourced from text, 4) STRONG QUOTE verbatim, 5) WHAT'S MISSING/uncovered angles (critical view), 6) CONTENT POST ANGLE in 1 sentence. Factual not servile, never invent a stat."
"Veille concurrentielle","Competitor watch","Research","Analyse concurrent. Nom + URL : {concurrent}. Mon business : {business}. Infos sur leur offre : {infos}. Brief : 1) POSITIONNEMENT 2 phrases, 2) OFFRE (produits, prix, modèle), 3) POINTS FORTS 3 max, 4) FAIBLESSES/GAPS 3 max, 5) ANGLES DE DIFFÉRENCIATION pour MOI 3, 6) ce qu'ils font mieux (à voler), 7) ce que je fais mieux (à mettre en avant). Honnête.","Competitor analysis. Name + URL: {competitor}. My business: {business}. Info on their offer: {info}. Brief: 1) POSITIONING 2 sentences, 2) OFFER (products, prices, model), 3) STRENGTHS 3 max, 4) WEAKNESSES/GAPS 3 max, 5) DIFFERENTIATION ANGLES for ME 3, 6) what they do better (steal), 7) what I do better (highlight). Honest."
"Analyse persona client","Customer persona analysis","Research","Persona détaillé pour ma cible. Description : {description}. Offre : {offre}. Contenu : 1) PRÉNOM + ÂGE + CONTEXTE pro (paragraphe vivant), 2) JOURNÉE TYPE 5 lignes, 3) PAINS profonds 3 (pas ""manque de temps""), 4) DÉSIRS 3 (au-delà du business), 5) OBJECTIONS, 6) OÙ il/elle traîne (réseaux), 7) CE QU'IL/ELLE A ESSAYÉ et pourquoi flop, 8) MESSAGE CLÉ. Évite clichés, marque [À VALIDER] si manque d'info.","Detailed persona for my target. Description: {description}. Offer: {offer}. Contents: 1) FIRST NAME + AGE + PROFESSIONAL CONTEXT (alive paragraph), 2) TYPICAL DAY 5 lines, 3) DEEP PAINS 3 (not ""no time""), 4) DESIRES 3 (beyond business), 5) OBJECTIONS, 6) WHERE they hang out (networks), 7) WHAT THEY'VE TRIED and why it failed, 8) KEY MESSAGE. Avoid clichés, mark [TO VALIDATE] if info missing."
"Recherche marché : 3 angles","Market research: 3 angles","Research","Marché : {marché}. Concurrents : {concurrents}. Audience : {audience}. Mes atouts : {atouts}. Identifie : 1) TROIS ANGLES NON COUVERTS, 2) pour chaque : pourquoi personne ne l'occupe, audience potentielle, difficulté pour MOI 1-10, 3) RECOMMANDATION : quel angle attaquer en premier + premier contenu à publier dans 24h. Si un ""angle non couvert"" est un cimetière, dis-le.","Market: {market}. Competitors: {competitors}. Audience: {audience}. My strengths: {strengths}. Identify: 1) THREE UNCOVERED ANGLES, 2) for each: why nobody owns it, potential audience, difficulty for ME 1-10, 3) RECOMMENDATION: which angle to attack first + first content to publish in 24h. If an ""uncovered angle"" is a graveyard, say so."
"Décrypter un sujet technique","Decode a technical topic","Research","Explique {sujet} comme si j'avais 14 ans, mais que je dois l'expliquer à un client. Format : 1) ANALOGIE quotidienne, 2) C'EST QUOI 1 phrase, 3) POURQUOI ÇA EXISTE, 4) COMMENT ÇA MARCHE 3 étapes, 5) EXEMPLE CONCRET, 6) CE QU'UN CLIENT BUSINESS retient (ROI/usage), 7) PIÈGES classiques, 8) 3 ressources pour approfondir. Pas de jargon non expliqué.","Explain {topic} like I'm 14, but I need to explain it back to a client. Format: 1) EVERYDAY ANALOGY, 2) WHAT IT IS 1 sentence, 3) WHY IT EXISTS, 4) HOW IT WORKS 3 steps, 5) CONCRETE EXAMPLE, 6) WHAT A BUSINESS CLIENT retains (ROI/usage), 7) CLASSIC PITFALLS, 8) 3 deeper resources. No unexplained jargon."
"Comparer 5 outils sur 5 critères","Compare 5 tools across 5 criteria","Research","Compare 5 outils sur 5 critères. Outils : {outils}. Critères : {critères}. Mon contexte : {besoin}. Sortie : 1) TABLEAU 5x5 note 1-5, 2) pour chaque outil 1 force + 1 faiblesse 1 ligne, 3) RECOMMANDATION pour MON contexte, 4) RUNNER-UP, 5) PIÈGE À ÉVITER (l'outil qui semble bien mais qui bloque dans 6 mois). N'invente pas, marque [À VÉRIFIER] si pas sûr.","Compare 5 tools across 5 criteria. Tools: {tools}. Criteria: {criteria}. My context: {need}. Output: 1) 5x5 TABLE 1-5 score, 2) for each tool 1 strength + 1 weakness 1 line, 3) RECOMMENDATION for MY context, 4) RUNNER-UP, 5) PITFALL TO AVOID (tool that looks good but blocks in 6 months). Don't invent, mark [TO VERIFY] if unsure."
"Brief recherche utilisateur","User research brief","Research","Interviewer 5 personnes pour valider une idée. Idée : {idée}. Cible : {persona}. Brief : 1) OBJECTIF 1 phrase, 2) 10 QUESTIONS ordonnées (2 contexte, 3 problème actuel jamais sur ma solution, 2 job-to-be-done, 2 solutions actuelles, 1 clôture), 3) CE QU'IL FAUT ÉCOUTER, 4) RED FLAGS qui invalident, 5) GREEN FLAGS qui confirment. Jamais ""tu paierais X € pour ça ?"".","Interview 5 people to validate an idea. Idea: {idea}. Target: {persona}. Brief: 1) GOAL 1 sentence, 2) 10 ORDERED QUESTIONS (2 context, 3 current problem never about my solution, 2 job-to-be-done, 2 current solutions, 1 closing), 3) WHAT TO LISTEN FOR, 4) RED FLAGS that invalidate, 5) GREEN FLAGS that confirm. Never ""would you pay $X?""."
"Synthèse sources contradictoires","Synthesis of contradictory sources","Research","Sujet : {sujet}. Source 1 : {résumé1}. Source 2 : {résumé2}. Source 3 : {résumé3}. Synthétise : 1) POINTS DE CONSENSUS, 2) POINTS DE DIVERGENCE (sans prendre parti), 3) POURQUOI elles divergent (méthodo, biais, data différente), 4) CE QUE TU CONCLURAIS si tu devais agir aujourd'hui, 5) CE QU'IL MANQUE pour trancher. Nuancé, n'aplatis pas les divergences.","Topic: {topic}. Source 1: {sum1}. Source 2: {sum2}. Source 3: {sum3}. Synthesize: 1) CONSENSUS POINTS, 2) DIVERGENCE POINTS (no side-taking), 3) WHY they diverge (methodology, bias, different data), 4) WHAT YOU'D CONCLUDE if acting today, 5) WHAT'S MISSING to settle. Nuanced, don't flatten divergences."
"Brief avant article long","Brief before long article","Research","Article long. Sujet : {sujet}. Audience : {audience}. Promesse : {promesse}. SEO : {mots-clés}. Brief : 1) ANGLE UNIQUE différent du top 10 Google, 2) OUTLINE H1 + 5-7 H2 + 2-3 H3, 3) pour chaque H2 : key takeaway + exemple/data, 4) INTRO 3 phrases (hook, contexte, promesse), 5) CONCLUSION 3 phrases (résumé, ouverture, CTA doux), 6) 3 IDÉES VISUELLES, 7) 5 LIENS INTERNES.","Long article. Topic: {topic}. Audience: {audience}. Promise: {promise}. SEO: {keywords}. Brief: 1) UNIQUE ANGLE different from top 10 Google, 2) OUTLINE H1 + 5-7 H2 + 2-3 H3, 3) for each H2: key takeaway + example/data, 4) INTRO 3 sentences (hook, context, promise), 5) CONCLUSION 3 sentences (recap, opening, soft CTA), 6) 3 VISUAL IDEAS, 7) 5 INTERNAL LINKS."
"Décrypter un contrat","Decode a contract","Research","Texte juridique : {texte}. Analyse pour quelqu'un qui n'est pas juriste. Format : 1) DE QUOI IL S'AGIT 1 phrase, 2) PARTIES IMPLIQUÉES, 3) ENGAGEMENTS de chaque partie, 4) CLAUSES À SURVEILLER (résiliation, PI, paiement, exclusivité), 5) RED FLAGS, 6) POINTS À NÉGOCIER, 7) signe-le ou pas en 1 phrase. Disclaimer : ""Ceci n'est pas un avis juridique. Pour engagement important consulte un avocat.""","Legal text: {text}. Analyze for non-lawyer. Format: 1) WHAT IT'S ABOUT 1 sentence, 2) PARTIES INVOLVED, 3) COMMITMENTS of each party, 4) CLAUSES TO WATCH (termination, IP, payment, exclusivity), 5) RED FLAGS, 6) POINTS TO NEGOTIATE, 7) sign or not in 1 sentence. Disclaimer: ""This isn't legal advice. For important agreements consult a lawyer."""
